active_volume_ul,reagent,volume,volume_plus,volume_ul,well
2.1,nuclease,2.1e-06,1.71e-05,17.1,A04
0.0,blank control rna,0.0,1.5e-05,15.0,A16
0.625,g1 rna,6.25e-07,1.5625e-05,15.625,A05
32.5,reporter,3.25e-05,4.75e-05,47.5,A07
17.5,chi,1.75e-05,3.25e-05,32.5,A02
0.0,no guide control sgrna,0.0,1.5e-05,15.0,A15
26.875,h20,2.6875e-05,4.1875e-05,41.875,A03
1.05,nt sgrna,1.05e-06,1.605e-05,16.05,A12
0.0,no guide control rna,0.0,1.5e-05,15.0,A14
48.0,master,4.8e-05,6.3e-05,63.0,A01
48.0,master,4.8e-05,6.3e-05,63.0,A10
30.0,master,3e-05,4.5e-05,45.0,A13
0.625,nt rna,6.25e-07,1.5625e-05,15.625,A11
1.05,g2 sgrna,1.05e-06,1.605e-05,16.05,A09
0.0,blank control sgrna,0.0,1.5e-05,15.0,A17
0.625,g2 rna,6.25e-07,1.5625e-05,15.625,A08
1.05,g1 sgrna,1.05e-06,1.605e-05,16.05,A06
